initial conditions:
****     513.2367 1.100e-01 2.699e-01
****     520.6000 3.505e-02 1.959e-01
****     527.7167 -1.198e-01 1.940e-01
****     535.2600 -2.276e-02 3.035e-01
****     542.6700 1.452e-01 2.607e-01
****     549.9733 2.436e-02 1.826e-01
****     556.9900 -1.378e-01 1.660e-01
****     564.4433 -6.988e-02 3.020e-01
****     571.8300 1.654e-01 2.937e-01
****     579.0400 1.410e-01 1.989e-01
****     586.0733 -9.124e-02 1.549e-01
****     593.2200 -1.540e-01 2.140e-01
****     600.8400 6.708e-02 3.078e-01
****     608.1667 1.407e-01 2.283e-01
****     615.3900 -4.825e-02 1.837e-01
****     622.6133 -1.230e-01 2.343e-01
****     630.2233 6.987e-02 2.918e-01
****     637.6100 9.030e-02 2.126e-01
****     644.7900 -8.763e-02 1.952e-01
****     652.2400 -5.986e-02 2.867e-01
****     659.7233 1.250e-01 2.671e-01
****     667.0600 3.211e-02 1.903e-01
****     674.1333 -1.279e-01 1.819e-01
****     681.6400 -4.262e-02 3.050e-01
****     689.0367 1.590e-01 2.758e-01
****     696.3000 7.623e-02 1.820e-01
****     703.2400 -1.266e-01 1.374e-01
****     710.4267 -1.569e-01 2.288e-01
****     718.0100 9.757e-02 3.089e-01
****     725.2867 1.516e-01 2.240e-01
****     732.4800 -5.086e-02 1.769e-01
****     739.6500 -1.358e-01 2.204e-01
****     747.2700 5.686e-02 3.001e-01
****     754.6433 1.153e-01 2.224e-01
****     761.8633 -6.610e-02 1.928e-01
****     769.2233 -8.801e-02 2.681e-01
****     776.7667 1.048e-01 2.748e-01
****     784.1333 4.635e-02 1.975e-01
****     791.2467 -1.167e-01 1.907e-01
****     798.7633 -3.560e-02 3.016e-01
